ADM3_FR;ADM3_PCODE;ADM3_REF;ADM3ALT1_FR;ADM3ALT2_FR;ADM2_FR;ADM2_PCODE;ADM1_FR;ADM1_PCODE;ADM0_FR;ADM0_PCODE;DATE;VALIDON;VALIDTO;AREA_SQKM
Dzolo;TG030104;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;123,4217377
Dzrekpo;TG030604;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;57,58432007
Ekpegnon;TG040104;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;142,1517334
Elavagnon;TG040502;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;289,6159363
Elavagnon/Atigba;TG040404;;;;Danyi;TG0404;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;192,7219086
Esse Godjin;TG030703;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;77,18600464
Evou;TG040105;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;39,95809555
Fare;TG051402;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;48,89350891
Fazao;TG010304;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;308,4745178
Gadja;TG040311;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;207,4675751
Galangashie;TG051403;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;445,6444702
Game;TG030807;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;208,4069519
Game;TG040106;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;340,8480835
Ganave/Fiata;TG030406;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;22,93776512
Gando;TG051901;;;;Oti-Sud;TG0519;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;351,6508789
Gape-Centre;TG030809;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;262,1483765
Gape Kpodji;TG030808;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;111,3809967
Gbadjahe;TG040503;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;164,6366272
Gbaladze;TG040703;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;32,94295883
Gbalave;TG041203;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;20,35007668
Gbatope;TG030810;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;269,8314819
Gbende;TG041002;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;110,4404221
Gblainvie;TG030811;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;111,2452011
Gboto;TG030704;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;60,35618973
Glei;TG040903;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;455,4996338
Glidji;TG030407;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;40,04232407
Glitto;TG041104;;;;Anie;TG0411;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;329,6783142
Gnagna;TG040904;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;76,22693634
Gnoaga;TG051704;;;;Cinkasse;TG0517;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;5,859516144
Gobe/Eketo/Gbadi N'Kugna;TG040203;Gobe/Eketo/Gbadi NKugna;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;368,0307312
Goubi;TG010405;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;154,3353119
Gouloungoussi;TG051705;;;;Cinkasse;TG0517;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;15,00109005
Goundoga;TG051506;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;33,71896362
Govie;TG040704;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;43,74013901
Guerin-Kouka;TG020402;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;441,0397034
Hahotoe;TG030605;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;38,92518616
Hanyigba;TG041204;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;34,24041748
Helota;TG020603;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;201,449295
Hiheatro;TG040107;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;221,3254089
Hompou;TG030204;;;;Bas-Mono;TG0302;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;40,08801651
Houdou;TG040905;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;67,48655701
Imle;TG040108;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;95,78975677
Kaboli;TG010406;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;935,5408936
Kabou;TG020206;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;388,4234619
Kadambara;TG010503;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;323,9210815
Kadjalla;TG020505;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;100,9149933
Kagnigbara;TG010203;;;;Plaine du Mo;TG0102;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;235,5457001
Kalanga;TG020207;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;122,4965973
Kame;TG040705;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;75,58347321
Kamina;TG040504;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;581,6939697
Kamina;TG041003;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;358,0804749
Kande;TG020604;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;282,6942749
Kaniamboua;TG010305;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;31,93988419
Kantindi;TG051603;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;82,80007935
Katchamba;TG020403;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;135,6674957
Katchenke;TG010108;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;115,3852234
Katome;TG040802;;;;Moyen-Mono;TG0408;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;24,05834389
Katore;TG040906;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;277,3816223
Kazaboua;TG010306;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;202,5634308
Kemeni;TG010504;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;117,1622238
Kemerida;TG020302;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;44,3106041
Kessibo;TG040204;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;107,6666183
Ketao;TG020303;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;48,82683182
Keve;TG030105;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;105,7830505
Kidjaboun;TG020404;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;340,6267395
Kini-Kondji;TG030705;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;29,31897545
Klabe Efoukpa;TG040205;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;196,4438934
Koffiti;TG010109;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;182,8296204
Koka;TG020506;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;19,74790573
Kolina;TG010505;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;110,3405075
Kolokope;TG041105;;;;Anie;TG0411;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;224,2001648
Komah;TG010506;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;95,50859833
Korbongou;TG051604;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;92,69023132
Kougnohou;TG041004;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;96,48751068
Koulfiekou;TG020405;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;167,9381561
Kouma;TG041205;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;59,88870239
Koumea;TG020705;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;50,77519226
Koumonde;TG020105;;;;Assoli;TG0201;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;58,65120697
Koumongou;TG051902;;;;Oti-Sud;TG0519;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;115,7887115
Koundjoare;TG051302;;;;Kpendjal;TG0513;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;225,7959595
Kountoire;TG051903;;;;Oti-Sud;TG0519;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;241,6124725
Kourientre;TG051605;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;41,99612427
Koussountou;TG010407;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;470,0773315
Koutchitcheou;TG020406;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;43,1775322
Koutougou;TG020605;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;179,7454834
Kouve;TG030706;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;317,6662598
Kovie;TG030812;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;48,346035
Kpadape;TG041206;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;65,80110168
Kpaha;TG020507;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;100,7531204
Kpalave;TG041005;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;95,06505585
Kpangalam;TG010507;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;284,1873474
Kparatao;TG010508;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;142,0433807
Kpassouade;TG010509;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;80,89559937
Kpategan;TG040109;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;179,3674774
Kpedome;TG040605;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;598,0911255
Kpegnon/Haito;TG040606;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;161,6491394
Kpekpleme;TG040803;;;;Moyen-Mono;TG0408;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;97,80844116
Kpele-Centre;TG040706;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;114,7003632
Kpele-Dawlotou;TG040707;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;246,2444
Kpele-Dutoe;TG040708;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;29,6551342
Kpele-Nord;TG040709;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;95,46572113
Kpendjaga / Papri;TG051801;;;;Naki-Ouest;TG0518;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;47,89147949
Kpessi;TG040505;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;242,4717407
Kpete Bena;TG040206;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;123,8761673
Kpetsou;TG030205;;;;Bas-Mono;TG0302;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;35,17169952
Kpime;TG041207;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;70,57951355
Kpome;TG030813;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;82,50003815
Kri-Kri;TG010408;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;137,522049
Lama;TG020706;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;71,01199341
Lama-Dessi;TG020304;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;39,88286972
Lama-Tessi;TG010510;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;469,8697815
Landa;TG020707;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;31,89149284
Landa-Pozenda/Kpinzinde;TG020708;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;146,500351
Langabou;TG010110;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;225,5818787
Larni;TG010409;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;75,47808838
Lassa;TG020709;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;67,00086975
Lavie/ Apedome;TG041208;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;83,51002502
Legbassito;TG030903;;;;Agoe-Nyive;TG0309;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;24,03144073
Leon;TG020508;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;78,58039093
Loko;TG051404;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;78,97879791
Loko;TG051507;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;33,12940216
Lokpano;TG051508;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;71,62590027
Lome Commune;TG030501;;;;Lome Commune;TG0305;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;104,5705414
Lotogou/Warkambou;TG051606;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;122,6384811
Louanga;TG051607;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;65,32923889
M'Poti;TG010111;MPoti;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;264,6408386
Mamproug;TG051509;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;99,34825897
Mandouri;TG051303;;;;Kpendjal;TG0513;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;372,9438171
Manga;TG020208;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;73,99155426
Mango;TG051405;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;341,2635498
Massedena;TG020509;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;89,51155853
Mission-Tove;TG030814;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;56,52374649
Mogou;TG051904;;;;Oti-Sud;TG0519;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;429,8487549
Mome-Hounkpati;TG030606;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;42,03791428
Moretan;TG040506;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;738,2520752
Nadjoundi;TG051706;;;;Cinkasse;TG0517;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;27,72519493
Nadoba;TG020606;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;200,6121368
Nagbeni;TG051406;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;152,8269348
Naki-Est;TG051802;;;;Naki-Ouest;TG0518;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;267,0533447
Naki-Ouest;TG051608;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;102,6121597
Nali;TG051905;;;;Oti-Sud;TG0519;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;322,8149414
Namare;TG051609;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;51,67100906
Namon;TG020407;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;141,896637
Namoundjoga;TG051803;;;;Naki-Ouest;TG0518;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;197,3348541
Nampoch;TG020408;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;123,2454376
Nandoga;TG051510;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;47,36133194
Nandouta;TG020409;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;358,4727478
Nanergou;TG051610;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;55,35042953
Nano;TG051511;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;64,05929565
Natchibore;TG020410;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;182,0253906
Natchitikpi;TG020411;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;127,0782776
Natigou;TG051611;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;23,72926521
Naware;TG020412;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;234,1462097
Nayega;TG051804;;;;Naki-Ouest;TG0518;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;27,09878922
Niamtougou;TG020510;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;109,1511612
Nioukpourma;TG051612;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;75,90694427
Noepe;TG030106;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;37,34135818
Notse;TG040607;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;560,2637329
Nyamassila;TG040507;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;140,4632111
Ogaro;TG051805;;;;Naki-Ouest;TG0518;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;116,7899094
Ogou;TG040907;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;248,581665
Okou;TG040207;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;125,3031158
Okpahoe;TG040110;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;15,17900276
Ossacre;TG020607;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;270,6261902
Otadi;TG040111;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;347,1773682
Ouma-Amlame;TG040112;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;109,4196014
Ounabe;TG040208;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;70,56121063
Ountivou;TG040908;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;444,3582458
Pagala Gare;TG010112;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;184,0988312
Pagala Village;TG010113;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;94,22241211
Pagouda;TG020305;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;132,5797119
Pallakoko;TG041106;;;;Anie;TG0411;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;139,1503296
Pana;TG051613;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;105,7568207
Pessare;TG020306;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;66,56841278
Pesside;TG020608;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;311,0961914
Pitikita;TG020307;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;19,20397758
Pligou;TG051512;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;29,62852669
Pogno;TG051806;;;;Naki-Ouest;TG0518;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;93,34658051
Poissongui;TG051614;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;33,5917511
Pouda;TG020511;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;41,1342392
Pya;TG020710;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;54,42731094
Sadori;TG051407;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;156,1649017
Sagbado;TG030304;;;;Golfe;TG0303;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;56,87149811
Sagbiebou;TG051906;;;;Oti-Sud;TG0519;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;395,793457
Saiboude;TG010204;;;;Plaine du Mo;TG0102;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;76,15087128
Saligbe;TG040804;;;;Moyen-Mono;TG0408;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;78,02532959
