ADM3_FR;ADM3_PCODE;ADM3_REF;ADM3ALT1_FR;ADM3ALT2_FR;ADM2_FR;ADM2_PCODE;ADM1_FR;ADM1_PCODE;ADM0_FR;ADM0_PCODE;DATE;VALIDON;VALIDTO;AREA_SQKM
Tintchro;TG010117;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;285,9494019
Titigbe;TG010311;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;135,50177
Toaga;TG051617;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;41,0643692
Togblekope;TG030904;;;;Agoe-Nyive;TG0309;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;26,08386612
Togoville;TG030608;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;77,29154205
Tohoun;TG040806;;;;Moyen-Mono;TG0408;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;112,9174805
Tokpli;TG030710;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;79,48496246
Tome;TG041209;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;29,52867126
Tomegbe;TG040209;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;93,89771271
Tomety-Kondji;TG030711;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;157,1403656
Tove;TG041210;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;37,52210999
Tovegan;TG030107;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;188,8021393
Tsevie;TG030815;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;116,9515991
